"id_fuel_station","id_entity","id_department","fuel_station_name","direction","location","created_at","id_dept"
2551,7702,1,INVERSIONES JANA S.A.,ZONA POCONAS - BARRIO SAN JOSE - AV. JAIME MENDOZA Nro 260 - EDIFICIO SURTIDOR,POINT (-65.2482104 -19.0513711),2025-03-24 18:58:55.381,
2675,7848,1,ESTACION DE SERVICIO NAYLER,CHUQUISACA - AV. CIRCUNVALACION NRO S/N ZONA: QUIRPINCHACA,POINT (-65.2722009 -19.0383005),2025-03-24 18:58:55.381,
2719,3245,1,INVERSIONES JANA S.A.,ZONA POCONAS - BARRIO SAN JOSE - AV. JAIME MENDOZA Nro 260 - EDIFICIO SURTIDOR,POINT (-65.2482104 -19.0513711),2025-03-24 18:58:55.381,
3078,4993,1,MONTEAGUDO,CALLE PIRAIMIRI FINAL BARRIO LOS SAUCES,POINT (-63.950871 -19.796724),2025-03-24 18:58:55.381,
2704,8014,1,ESTACION DE SERVICIO CINTI S.R.L.,S/N ZONA:CAPILLA,POINT (-65.2128076 -20.6505657),2025-03-24 18:58:55.381,
2869,4990,1,EL TEJAR,ZONA EL TEJAR,POINT (-65.2728872 -19.0626796),2025-03-24 18:58:55.381,
2940,4995,1,MUYUPAMPA,AV. BANZER S/N,POINT (-63.7548837 -19.896218),2025-03-24 18:58:55.381,
2903,13340,1,ESTACION DE SERVICIO TARABUQUILLO,TARABUQUILLO ZONA TARABUQUILLO,POINT (-64.4751274 -19.3522939),2025-03-24 18:58:55.381,
2881,4991,1,OSTRIA GUTIERREZ,AV. OSTRIA GUTIERREZ ZONA TERMINAL,POINT (-65.2488258 -19.0394236),2025-03-24 18:58:55.381,
2501,8133,1,ESTACION DE SERVICIO AZARI,AV. DIAGONAL JAIME MENDOZA CAMINO A YAMPARAEZ S/N ZONA AZARI,POINT (-65.2314466 -19.0850269),2025-03-24 18:58:55.381,
2458,7878,1,ESTACION DE SERVICIO SUPER GRIFO,SUCRE CARRETERA SUCRE POTOSI KM 10,POINT (-65.262671 -19.1252629),2025-03-24 18:58:55.381,
3119,41599,1,YPFB - SAN LUCAS,"BARRIO SAN FRANCISCO, AV. LIBERTADORES DE AMERICA",POINT (-65.15432 -20.236485),2025-03-24 18:58:55.381,
2939,13339,1,ESTACION DE SERVICIO LOS SAUCES,CALLE PIRAIMIRI FINAL BARRIO LOS SAUCES,POINT (-63.960279 -19.8092658),2025-03-24 18:58:55.381,
2728,7924,1,ESTACION DE SERVICIO BUEN RETIRO,PADILLA- PAMPA DE LA CALDERA S/N,POINT (-64.2990112 -19.312374),2025-03-24 18:58:55.381,
3118,38029,1,YPFB - CAMARGO,CARRETERA TARIJA - CAMARGO - POTOSI,POINT (-65.2081996 -20.6447959),2025-03-24 18:58:55.381,
2494,7793,1,ESTACION DE SERVICIO SURTIDOR CANEDO ZONA MESA VERDE,AV. MARCELO QUIROGA SANTA CRUZ Nro S/N,POINT (-65.2444913 -19.0334397),2025-03-24 18:58:55.381,
2670,7942,1,COOPERATIVA INTEGRAL SAN JOSE OBREBRO MONTEAGUDO LTDA.,"AV. EL PORVENIR S/N, ZONA 1RO DE MAYO",POINT (-63.9561995 -19.8012169),2025-03-24 18:58:55.381,
2531,7939,1,ESTACION DE SERVICIO TREBOL S.R.L.,AV. CIRCUNVALACION ESQ. JULIO VILLA S/N,POINT (-65.2567667 -19.0167227),2025-03-24 18:58:55.381,
2731,8124,1,ESTACION DE SERVICIO MURILLO,DIAGONAL JAIME MENDOZA S/N - ZONA SANTA BARBARA - ZUDAÑEZ,POINT (-64.7016952 -19.1222407),2025-03-24 18:58:55.381,
2456,7945,1,COOPERATIVA DE TRANSPORTES DE CARGA NACIONAL E INTERNACIONAL MARISCAL SUCRE LTDA,COMUNIDAD LA ZAPATERA KILOMETRO 4 CARRETERA A COCHABAMBA,POINT (-65.2167964 -19.0021867),2025-03-24 18:58:55.381,
2705,7883,1,ESTACION DE SERVICIO MARIA ALEJANDRA,SUCRE - CARRETERA A COCHABAMBA KM 9 1/2 NRO S7N ZONA: ZAPATRA,POINT (-65.2224237 -18.9986667),2025-03-24 18:58:55.381,
3051,15176,1,ESTACION DE SERVICIO PU'JLLAY,CARRETERA TARABUCO,POINT (-64.9122699 -19.1759232),2025-03-24 18:58:55.381,
