"id_monitoring","monitoring_at","created_at"
1,2025-03-24 23:12:38.721,2025-03-24 23:12:38.721
2,2025-03-24 23:17:29.920,2025-03-24 23:17:29.920
3,2025-03-24 23:18:39.779,2025-03-24 23:18:39.779
4,2025-03-24 23:21:16.600,2025-03-24 23:21:16.600
5,2025-03-24 23:21:59.998,2025-03-24 23:21:59.998
6,2025-03-24 23:22:15.309,2025-03-24 23:22:15.309
7,2025-03-24 23:22:41.452,2025-03-24 23:22:41.452
8,2025-03-24 23:24:19.738,2025-03-24 23:24:19.738
9,2025-03-24 23:29:54.701,2025-03-24 23:29:54.701
10,2025-03-24 23:36:01.906,2025-03-24 23:36:01.906
11,2025-03-24 23:38:47.008,2025-03-24 23:38:47.008
12,2025-03-24 23:44:18.793,2025-03-24 23:44:18.793
13,2025-03-25 03:46:07.216,2025-03-25 03:46:07.216
14,2025-03-25 03:56:06.007,2025-03-25 03:56:06.007
15,2025-03-25 04:06:06.009,2025-03-25 04:06:06.009
16,2025-03-25 04:16:06.029,2025-03-25 04:16:06.029
17,2025-03-25 04:26:05.999,2025-03-25 04:26:05.999
18,2025-03-25 04:36:06.009,2025-03-25 04:36:06.009
19,2025-03-25 04:46:06.021,2025-03-25 04:46:06.021
20,2025-03-25 04:56:05.995,2025-03-25 04:56:05.995
21,2025-03-25 05:06:05.993,2025-03-25 05:06:05.993
22,2025-03-25 05:16:06.035,2025-03-25 05:16:06.035
23,2025-03-25 05:26:05.994,2025-03-25 05:26:05.994
24,2025-03-25 05:36:05.992,2025-03-25 05:36:05.992
25,2025-03-25 05:46:06.060,2025-03-25 05:46:06.060
26,2025-03-25 05:56:05.993,2025-03-25 05:56:05.993
27,2025-03-25 06:06:05.991,2025-03-25 06:06:05.991
28,2025-03-25 06:16:06.079,2025-03-25 06:16:06.079
29,2025-03-25 06:26:05.992,2025-03-25 06:26:05.992
30,2025-03-25 06:36:05.993,2025-03-25 06:36:05.993
31,2025-03-25 06:46:06.016,2025-03-25 06:46:06.016
32,2025-03-25 06:56:05.991,2025-03-25 06:56:05.991
33,2025-03-25 07:06:05.992,2025-03-25 07:06:05.992
34,2025-03-25 07:16:06.050,2025-03-25 07:16:06.050
35,2025-03-25 07:26:05.991,2025-03-25 07:26:05.991
36,2025-03-25 07:36:05.992,2025-03-25 07:36:05.992
37,2025-03-25 07:46:06.074,2025-03-25 07:46:06.074
38,2025-03-25 07:56:05.992,2025-03-25 07:56:05.992
39,2025-03-25 08:06:05.994,2025-03-25 08:06:05.994
40,2025-03-25 08:16:06.020,2025-03-25 08:16:06.020
41,2025-03-25 08:26:05.991,2025-03-25 08:26:05.991
42,2025-03-25 08:36:05.993,2025-03-25 08:36:05.993
43,2025-03-25 08:46:06.040,2025-03-25 08:46:06.040
44,2025-03-25 08:56:05.991,2025-03-25 08:56:05.991
45,2025-03-25 09:06:05.992,2025-03-25 09:06:05.992
46,2025-03-25 09:16:06.018,2025-03-25 09:16:06.018
47,2025-03-25 09:26:05.996,2025-03-25 09:26:05.996
